firstName,lastName,email,licenseNumber,specialization,phone
Elena,Gutiérrez,elena.gutiérrez@outlook.com,74405945,ORGANIC_CHEMISTRY,3164359838
Cristina,López,cristina.lópez@outlook.com,72171959,ORGANIC_CHEMISTRY,4360941852
Patricia,Martín,patricia.martín@gmail.com,39147082,ANALYTICAL_CHEMISTRY,3123420550
Miguel,Romero,miguel.romero@hotmail.com,58943582,ORGANIC_CHEMISTRY,2874915586
Miguel,García,miguel.garcía@gmail.com,24160138,ENVIRONMENTAL_CHEMISTRY,1808460094
Andrés,García,andrés.garcía@outlook.com,08291376,BIOCHEMISTRY,1714314369
Carlos,Gómez,carlos.gómez@gmail.com,77278414,INORGANIC_CHEMISTRY,0775855042
Andrés,Díaz,andrés.díaz@gmail.com,76394310,PHYSICAL_CHEMISTRY,2790684908
Juan,Muñoz,juan.muñoz@gmail.com,73801865,ORGANIC_CHEMISTRY,4449141889
María,Hernández,maría.hernández@gmail.com,05581139,PHYSICAL_CHEMISTRY,0412640084
Diego,Hernández,diego.hernández@hotmail.com,20916378,ANALYTICAL_CHEMISTRY,8697295560
Patricia,Hernández,patricia.hernández@outlook.com,00475325,PHYSICAL_CHEMISTRY,6926469378
Isabel,Alonso,isabel.alonso@yahoo.com,16157410,ORGANIC_CHEMISTRY,0630610359
Javier,Muñoz,javier.muñoz@hotmail.com,88728491,ENVIRONMENTAL_CHEMISTRY,0601576406
Ana,Moreno,ana.moreno@hotmail.com,90903943,ORGANIC_CHEMISTRY,1682686884
Laura,Romero,laura.romero@gmail.com,58673594,ORGANIC_CHEMISTRY,8051648694
Lucía,Álvarez,lucía.álvarez@gmail.com,05992506,INORGANIC_CHEMISTRY,0815454270
María,García,maría.garcía@hotmail.com,90884165,ORGANIC_CHEMISTRY,3802577216
Ana,Hernández,ana.hernández@gmail.com,80926803,ENVIRONMENTAL_CHEMISTRY,1700566953
Javier,Romero,javier.romero@outlook.com,31008865,BIOCHEMISTRY,8069001223
Elena,Alonso,elena.alonso@hotmail.com,22214547,PHYSICAL_CHEMISTRY,1131841691
Luis,García,luis.garcía@outlook.com,21647749,ORGANIC_CHEMISTRY,1474310271
Pedro,Álvarez,pedro.álvarez@yahoo.com,34177132,INORGANIC_CHEMISTRY,3335106646
Juan,Hernández,juan.hernández@outlook.com,81813719,ENVIRONMENTAL_CHEMISTRY,5211690589
Laura,Gómez,laura.gómez@outlook.com,92907018,PHYSICAL_CHEMISTRY,3236040037
